entrada,preco_entrada,saida,preco_saida,pnl,retorno
2021-09-15,3436.1372,2021-09-18,3398.3000,-1058.34,-0.012988
2021-10-01,3001.7801,2021-10-11,3411.9532,10807.66,0.134372
2021-10-12,3543.2808,2021-10-28,3918.6697,9464.54,0.103734
2021-10-29,4288.5232,2021-11-15,4625.3062,7691.32,0.076376
2021-11-21,4415.2065,2021-11-22,4255.7311,-4123.91,-0.038045
2021-11-24,4341.4596,2021-11-25,4267.2253,-1987.68,-0.019063
2021-11-26,4527.6827,2021-11-27,4039.7091,-11205.91,-0.109558
2021-11-29,4297.7278,2021-12-04,4213.1624,-1970.49,-0.021635
2021-12-07,4349.1835,2021-12-08,4304.6366,-1088.89,-0.012220
2021-12-09,4439.7888,2021-12-10,4102.3478,-6852.15,-0.077850
2021-12-22,4017.5578,2021-12-23,3976.6107,-987.75,-0.012170
2021-12-24,4114.2861,2021-12-29,3790.6937,-6453.63,-0.080492
2022-01-03,3829.9240,2022-01-04,3762.9976,-1433.02,-0.019438
2022-01-13,3373.0157,2022-01-14,3239.7093,-2995.76,-0.041440
2022-01-16,3328.1532,2022-01-18,3207.8453,-2638.36,-0.038074
2022-01-30,2602.6507,2022-02-12,2925.9363,8129.97,0.121968
2022-02-16,3186.1323,2022-02-18,2890.3341,-7078.69,-0.094652
2022-02-26,2769.0338,2022-02-28,2615.3917,-3884.61,-0.057373
2022-03-01,2923.0608,2022-03-05,2620.7890,-6714.27,-0.105201
2022-03-10,2728.9538,2022-03-11,2605.0968,-2700.89,-0.047294
2022-03-16,2619.3690,2022-04-07,3167.1356,11246.49,0.206706
2022-04-20,3103.2508,2022-04-21,3074.6419,-735.24,-0.011199
2022-04-26,3008.3534,2022-04-27,2807.9453,-4445.82,-0.068482
2022-05-05,2942.0403,2022-05-06,2746.1562,-4139.18,-0.068446
2022-05-31,1999.7994,2022-06-02,1817.1110,-5248.62,-0.093169
2022-06-07,1860.9000,2022-06-08,1812.3334,-1432.67,-0.028044
2022-06-25,1225.6125,2022-06-29,1143.5379,-3417.65,-0.068830
2022-07-05,1151.5855,2022-07-11,1167.7358,554.75,0.011998
