entrada,preco_entrada,saida,preco_saida,pnl,retorno
2019-06-11,7983.5898,2019-06-12,7878.5588,-140.73,-0.015128
2019-06-13,8130.5632,2019-07-01,10842.2762,3031.25,0.330857
2019-07-04,11935.2646,2019-07-05,11138.6279,-836.58,-0.068611
2019-07-07,11258.8266,2019-07-12,11342.1261,61.16,0.005386
2019-07-13,11760.6774,2019-07-14,11354.1201,-416.72,-0.036498
2019-07-21,10742.6686,2019-07-22,10581.2068,-186.99,-0.016998
2019-08-01,10086.8409,2019-08-11,11300.5469,1276.99,0.118087
2019-08-12,11547.4708,2019-08-14,10890.7519,-710.41,-0.058756
2019-08-20,10919.0568,2019-08-22,10135.0300,-838.27,-0.073658
2019-08-27,10376.9859,2019-08-28,10180.1074,-220.68,-0.020933
2019-09-03,10350.1725,2019-09-10,10297.1488,-73.39,-0.007111
2019-09-13,10418.3065,2019-09-16,10294.9500,-141.58,-0.013815
2019-10-10,8564.1799,2019-10-12,8253.3713,-386.25,-0.038217
2019-10-15,8352.3741,2019-10-16,8157.3193,-245.97,-0.025305
2019-10-21,8224.4101,2019-10-23,8016.7896,-257.63,-0.027192
2019-10-26,8663.0294,2019-11-09,8769.0133,94.12,0.010212
2019-11-28,7510.1532,2019-11-29,7414.4909,-136.97,-0.014710
2019-11-30,7744.6704,2019-12-02,7389.0037,-438.79,-0.047830
2019-12-06,7392.0942,2019-12-10,7338.6289,-80.51,-0.009216
2019-12-19,7279.7380,2019-12-26,7199.0986,-112.97,-0.013053
2019-12-28,7256.9266,2019-12-31,7240.3780,-36.51,-0.004274
2020-01-04,7349.5729,2020-01-24,8402.9964,1199.62,0.141047
2020-01-27,8619.0073,2020-02-05,9191.6019,624.05,0.064303
2020-02-06,9618.2067,2020-02-16,9900.9471,282.39,0.027340
2020-02-19,10171.9834,2020-02-20,9589.1030,-628.04,-0.059186
2020-02-24,9940.0675,2020-02-25,9654.1705,-306.51,-0.030703
2020-03-06,9058.9272,2020-03-08,8883.0562,-206.82,-0.021373
2020-03-20,6166.0815,2020-03-23,5814.1915,-558.27,-0.058953
2020-03-24,6467.6322,2020-03-28,6357.5197,-169.22,-0.018989
2020-03-31,6397.2971,2020-04-11,6856.3701,608.63,0.069619
2020-04-17,7105.0507,2020-04-21,6824.7859,-386.80,-0.041365
2020-04-23,7130.0632,2020-05-11,8717.8389,1974.31,0.220245
2020-05-14,9312.7540,2020-05-22,9064.4655,-312.90,-0.028606
2020-05-28,9206.5009,2020-06-03,9513.1411,331.97,0.031242
2020-06-04,9669.8325,2020-06-12,9276.2596,-466.99,-0.042618
2020-06-17,9529.0621,2020-06-18,9458.7683,-98.19,-0.009360
2020-06-23,9688.8420,2020-06-25,9292.1516,-445.41,-0.042859
2020-07-02,9234.5149,2020-07-03,9081.7568,-184.09,-0.018507
2020-07-07,9349.3723,2020-07-10,9228.4835,-145.49,-0.014902
2020-07-11,9293.2443,2020-07-12,9229.6828,-84.86,-0.008824
2020-07-13,9304.7501,2020-07-14,9237.3790,-87.93,-0.009224
2020-07-20,9213.2043,2020-07-21,9155.9198,-77.48,-0.008203
2020-07-22,9392.4939,2020-08-12,11383.7053,1963.15,0.209579
2020-08-13,11570.9826,2020-08-20,11747.2235,149.59,0.013203
2020-08-21,11861.9280,2020-08-22,11522.5359,-350.74,-0.030553
2020-08-25,11758.4763,2020-08-26,11315.2396,-440.91,-0.039618
2020-08-31,11718.1561,2020-09-03,11380.4070,-328.80,-0.030763
2020-09-15,10677.2359,2020-09-22,10412.5911,-276.95,-0.026734
2020-09-25,10738.4665,2020-10-02,10613.8904,-136.88,-0.013576
2020-10-05,10672.1334,2020-10-07,10595.3997,-91.24,-0.009174
2020-10-09,10929.8622,2020-11-27,17136.1277,5564.68,0.564694
2020-11-30,18190.5907,2020-12-05,18638.6760,348.25,0.022586
2020-12-06,19166.7786,2020-12-09,18311.4397,-733.73,-0.046535
2020-12-13,18815.1028,2021-01-12,35409.9861,13203.01,0.878238
2021-01-14,37392.6870,2021-01-17,35982.0000,-1119.55,-0.039649
2021-01-19,36646.0138,2021-01-20,35860.3609,-634.38,-0.023394
2021-01-29,33316.6500,2021-02-01,33082.9503,-238.30,-0.008998
2021-02-02,33518.6510,2021-02-24,48861.9568,11937.01,0.454842
2021-03-02,49622.2987,2021-03-03,48423.4762,-996.86,-0.026109
2021-03-04,50381.1780,2021-03-05,48351.6121,-1569.25,-0.042202
2021-03-07,48911.9437,2021-03-16,55567.0026,4765.04,0.133792
2021-03-17,56929.3504,2021-03-23,54069.6516,-2105.02,-0.052130
2021-03-27,55042.9077,2021-04-04,57038.8663,1308.68,0.034191
2021-04-05,58227.1990,2021-04-08,55928.7216,-1638.51,-0.041393
2021-04-09,58120.0455,2021-04-18,59970.0000,1129.57,0.029768
2021-04-27,54028.7008,2021-04-30,53530.2215,-437.86,-0.011206
2021-05-01,57709.9405,2021-05-05,53177.2981,-3105.76,-0.080383
2021-05-06,57478.6249,2021-05-11,55788.8916,-1113.44,-0.031337
2021-06-03,37587.4843,2021-06-05,36815.1832,-774.53,-0.022504
