data,patrimonio
2025-07-07,6205.50
2025-07-08,6383.22
2025-07-09,6757.42
2025-07-10,7203.14
2025-07-11,7221.18
2025-07-12,7184.06
2025-07-13,7254.18
2025-07-14,7356.16
2025-07-15,7658.48
2025-07-16,8229.03
2025-07-17,8486.51
2025-07-18,8658.03
2025-07-19,8767.74
2025-07-20,9170.02
2025-07-21,9184.29
2025-07-22,9144.31
2025-07-23,8857.34
2025-07-24,9048.63
2025-07-25,9091.40
2025-07-26,9132.79
2025-07-27,9453.32
2025-07-28,9271.07
2025-07-29,9260.52
2025-07-30,9300.62
2025-07-31,9027.76
2025-08-01,9013.25
2025-08-02,9013.25
2025-08-03,9013.25
2025-08-04,9013.25
2025-08-05,8736.03
2025-08-06,8722.93
2025-08-07,9246.65
2025-08-08,9482.78
2025-08-09,10076.40
2025-08-10,10053.13
2025-08-11,9988.24
2025-08-12,10854.96
2025-08-13,11232.72
2025-08-14,10752.09
2025-08-15,10498.35
2025-08-16,10458.15
2025-08-17,10577.57
2025-08-18,10201.56
2025-08-19,10186.10
2025-08-20,10186.10
2025-08-21,9912.10
2025-08-22,9896.70
2025-08-23,9773.60
2025-08-24,9776.77
2025-08-25,8951.34
2025-08-26,8938.04
2025-08-27,8743.71
2025-08-28,8730.62
2025-08-29,8730.62
2025-08-30,8730.62
2025-08-31,8730.62
2025-09-01,8730.62
2025-09-02,8730.62
2025-09-03,8730.62
2025-09-04,8418.46
2025-09-05,8405.85
2025-09-06,8405.85
2025-09-07,8405.85
2025-09-08,8405.85
2025-09-09,8405.85
2025-09-10,8405.85
2025-09-11,8602.94
2025-09-12,9092.74
2025-09-13,9005.31
2025-09-14,8884.37
2025-09-15,8727.47
2025-09-16,8685.17
2025-09-17,8672.15
2025-09-18,8654.23
2025-09-19,8430.67
2025-09-20,8418.05
2025-09-21,8418.05
2025-09-22,8418.05
2025-09-23,8418.05
2025-09-24,8418.05
2025-09-25,8418.05
2025-09-26,8418.05
2025-09-27,8418.05
2025-09-28,8418.05
2025-09-29,8418.05
2025-09-30,8266.91
2025-10-01,8254.51
2025-10-02,8500.52
2025-10-03,8553.88
2025-10-04,8506.17
2025-10-05,8557.36
2025-10-06,8878.87
2025-10-07,8429.74
2025-10-08,8578.88
2025-10-09,8279.81
2025-10-10,8267.39
2025-10-11,8267.39
2025-10-12,8267.39
2025-10-13,8267.39
2025-10-14,8027.60
2025-10-15,8015.53
2025-10-16,8015.53
2025-10-17,8015.53
2025-10-18,8015.53
2025-10-19,8015.53
2025-10-20,8015.53
2025-10-21,8015.53
2025-10-22,8015.53
2025-10-23,8015.53
2025-10-24,8015.53
2025-10-25,8042.57
2025-10-26,8460.23
2025-10-27,8381.14
2025-10-28,8095.01
2025-10-29,8082.85
2025-10-30,8082.85
2025-10-31,8082.85
2025-11-01,8082.85
2025-11-02,8082.85
2025-11-03,8082.85
2025-11-04,8082.85
2025-11-05,8082.85
2025-11-06,8082.85
2025-11-07,8082.85
2025-11-08,8082.85
2025-11-09,8082.85
2025-11-10,8035.63
2025-11-11,7698.57
2025-11-12,7687.05
2025-11-13,7687.05
2025-11-14,7687.05
2025-11-15,7687.05
2025-11-16,7687.05
2025-11-17,7687.05
2025-11-18,7687.05
2025-11-19,7687.05
2025-11-20,7687.05
2025-11-21,7687.05
2025-11-22,7687.05
2025-11-23,7687.05
2025-11-24,7687.05
2025-11-25,7691.25
2025-11-26,7865.69
2025-11-27,7836.82
2025-11-28,7877.86
2025-11-29,7768.91
2025-11-30,7774.96
2025-12-01,7273.78
2025-12-02,7262.88
2025-12-03,7716.91
2025-12-04,7583.74
2025-12-05,7313.79
2025-12-06,7303.23
2025-12-07,7344.91
2025-12-08,7499.46
2025-12-09,7964.88
2025-12-10,7978.49
2025-12-11,7770.79
2025-12-12,7403.90
2025-12-13,7392.80
2025-12-14,7392.80
2025-12-15,7392.80
2025-12-16,7392.80
2025-12-17,7392.80
2025-12-18,7392.80
2025-12-19,7392.80
2025-12-20,7392.80
2025-12-21,7392.80
2025-12-22,7401.18
2025-12-23,7289.52
2025-12-24,7279.40
2025-12-25,7279.40
2025-12-26,7279.40
2025-12-27,7279.40
2025-12-28,7279.40
2025-12-29,7279.40
2025-12-30,7279.40
2025-12-31,7263.26
2026-01-01,7342.97
2026-01-02,7639.28
2026-01-03,7642.82
2026-01-04,7686.55
2026-01-05,7882.63
2026-01-06,8058.15
2026-01-07,7745.68
2026-01-08,7593.23
2026-01-09,7582.09
2026-01-10,7582.09
2026-01-11,7582.09
2026-01-12,7503.20
2026-01-13,7491.98
2026-01-14,7547.03
2026-01-15,7466.04
2026-01-16,7415.47
2026-01-17,7447.68
2026-01-18,7388.65
2026-01-19,7174.66
2026-01-20,7163.84
2026-01-21,7163.84
2026-01-22,7163.84
2026-01-23,7163.84
2026-01-24,7163.84
2026-01-25,7163.84
2026-01-26,7163.84
2026-01-27,7163.84
2026-01-28,7117.53
2026-01-29,6672.60
2026-01-30,6662.59
2026-01-31,6662.59
2026-02-01,6662.59
2026-02-02,6662.59
2026-02-03,6662.59
2026-02-04,6662.59
2026-02-05,6662.59
2026-02-06,6662.59
2026-02-07,6662.59
2026-02-08,6662.59
2026-02-09,6662.59
2026-02-10,6662.59
2026-02-11,6662.59
2026-02-12,6662.59
2026-02-13,6662.59
2026-02-14,6662.59
2026-02-15,6269.69
2026-02-16,6260.28
2026-02-17,6260.28
2026-02-18,6260.28
2026-02-19,6260.28
2026-02-20,6260.28
2026-02-21,6260.28
2026-02-22,6260.28
2026-02-23,6260.28
2026-02-24,6260.28
2026-02-25,6260.28
2026-02-26,6160.13
2026-02-27,5862.97
2026-02-28,5854.18
2026-03-01,5854.18
